試合ID,履歴No,ピリオド,ピリオド残時間,チームID,チーム名,背番号1,背番号2,選手名1,選手名2,プレイテキスト,スコア,ピリオド終了フラグ,試合終了フラグ,選手ID1,選手ID2,アクション1,アクション2,アクション3,ホームアウェイ,エリア,X座標,Y座標,サイド
1111111,1,1,10:00,111,チームA,1,,選手1,,#1 選手1 プレイヤーイン,,0,0,10000001,0,86,0,,1,,,,
1111111,2,1,10:00,111,チームA,2,,選手2,,#2 選手2 プレイヤーイン,,0,0,10000002,0,86,0,,1,,,,
1111111,3,1,10:00,111,チームA,3,,選手3,,#3 選手3 プレイヤーイン,,0,0,10000003,0,86,0,,1,,,,
1111111,4,1,10:00,111,チームA,4,,選手4,,#4 選手4 プレイヤーイン,,0,0,10000004,0,86,0,,1,,,,
1111111,5,1,10:00,111,チームA,5,,選手5,,#5 選手5 プレイヤーイン,,0,0,10000005,0,86,0,,1,,,,
1111111,6,1,10:00,222,チームB,1,,選手13,,#1 選手13 プレイヤーイン,,0,0,10000013,0,86,0,,2,,,,
1111111,7,1,10:00,222,チームB,2,,選手14,,#2 選手14 プレイヤーイン,,0,0,10000014,0,86,0,,2,,,,
1111111,8,1,10:00,222,チームB,3,,選手15,,#3 選手15 プレイヤーイン,,0,0,10000015,0,86,0,,2,,,,
1111111,9,1,10:00,222,チームB,4,,選手16,,#4 選手16 プレイヤーイン,,0,0,10000016,0,86,0,,2,,,,
1111111,10,1,10:00,222,チームB,5,,選手17,,#5 選手17 プレイヤーイン,,0,0,10000017,0,86,0,,2,,,,
1111111,11,1,10:00,0,,,,,,ジャンプボール クォーター開始,,0,0,0,0,107,108,0,0,,,,
1111111,12,1,10:00,111,チームA,4,,選手4,,#4 選手4 ジャンプボール 勝者,,0,0,10000004,0,107,109,0,1,,,,
1111111,13,1,10:00,222,チームB,4,,選手16,,#4 選手16 ジャンプボール 敗者,,0,0,10000016,0,107,110,0,2,,,,
1111111,14,1,9:47,111,チームA,5,,選手5,,#5 選手5 3Pシュート× ジャンプショット,,0,0,10000005,0,2,27,0,1,outsideright,25.43000031,88.76000214,left
1111111,15,1,9:44,222,チームB,5,,選手17,,#5 選手17 ディフェンスリバウンド(0-1-1),,0,0,10000017,0,9,0,0,2,,,,
1111111,16,1,9:28,222,チームB,5,,選手17,,#5 選手17 3Pシュート○(3点) ジャンプショット,0-3,0,0,10000017,0,1,27,0,2,outsidecenter,67.55000305,55.70999908,right
1111111,17,1,9:28,222,チームB,1,,選手13,,#1 選手13 アシスト(1本),,0,0,10000013,0,12,0,0,2,,,,
1111111,18,1,9:04,111,チームA,4,,選手4,,#4 選手4 ターンオーバー(1本) バッドパス,,0,0,10000004,0,13,149,0,1,,,,
1111111,19,1,9:04,222,チームB,1,,選手13,,#1 選手13 スティール(1本),,0,0,10000013,0,14,0,0,2,,,,
1111111,20,1,8:55,222,チームB,2,,選手14,,#2 選手14 3Pシュート× プルアップジャンプショット,,0,0,10000014,0,2,98,0,2,outsideright,70.19999695,33.38999939,right
1111111,21,1,8:52,222,チームB,3,,選手15,,#3 選手15 オフェンスリバウンド(1-0-1),,0,0,10000015,0,10,0,0,2,,,,
1111111,22,1,8:50,222,チームB,5,,選手17,,#5 選手17 2Pシュート アウトサイドペイント× ジャンプショット,,0,0,10000017,0,5,27,0,2,insideleftwing,94.69999695,88.76000214,right
1111111,23,1,8:48,111,チームA,4,,選手4,,#4 選手4 ディフェンスリバウンド(0-1-1),,0,0,10000004,0,9,0,0,1,,,,
1111111,24,1,8:32,111,チームA,4,,選手4,,#4 選手4 ターンオーバー(2本) バッドパス,,0,0,10000004,0,13,149,0,1,,,,
1111111,25,1,8:22,222,チームB,3,,選手15,,#3 選手15 ターンオーバー(1本) ボールハンドリング,,0,0,10000015,0,13,147,0,2,,,,
1111111,26,1,8:22,111,チームA,5,,選手5,,#5 選手5 スティール(1本),,0,0,10000005,0,14,0,0,1,,,,
1111111,27,1,8:17,111,チームA,3,,選手3,,#3 選手3 2Pシュート インサイドペイント○(2点) レイアップ ファストブレイクポインツオフターンオーバー,2-3,0,0,10000003,0,4,28,38,1,underbasket,5.300000191,45.25,left
1111111,28,1,8:17,111,チームA,4,,選手4,,#4 選手4 アシスト(1本),,0,0,10000004,0,12,0,0,1,,,,
1111111,29,1,8:01,222,チームB,4,,選手16,,#4 選手16 ターンオーバー(1本) バッドパス,,0,0,10000016,0,13,149,0,2,,,,
1111111,30,1,8:01,111,チームA,5,,選手5,,#5 選手5 スティール(2本),,0,0,10000005,0,14,0,0,1,,,,
1111111,31,1,7:57,111,チームA,4,,選手4,,#4 選手4 2Pシュート インサイドペイント○(2点) ジャンプショット ファストブレイクポインツオフターンオーバー,4-3,0,0,10000004,0,4,27,38,1,underbasket,6.239999771,53.72999954,left
1111111,32,1,7:57,111,チームA,5,,選手5,,#5 選手5 アシスト(1本),,0,0,10000005,0,12,0,0,1,,,,
1111111,33,1,7:45,222,チームB,1,,選手13,,#1 選手13 2Pシュート インサイドペイント× ジャンプショット,,0,0,10000013,0,6,27,0,2,underbasket,94.06999969,57.40000153,right
1111111,34,1,7:43,111,チームA,2,,選手2,,#2 選手2 ディフェンスリバウンド(0-1-1),,0,0,10000002,0,9,0,0,1,,,,
1111111,35,1,7:32,222,チームB,5,,選手17,,#5 選手17 パーソナルファウル(1-1:0) 0ショット,,0,0,10000017,0,22,30,0,2,,,,
1111111,36,1,7:32,111,チームA,4,,選手4,,#4 選手4 ファウルドローン(1本),,0,0,10000004,0,15,0,0,1,,,,
1111111,37,1,7:26,111,チームA,1,,選手1,,#1 選手1 2Pシュート アウトサイドペイント○(2点) ステップバックジャンプショット,6-3,0,0,10000001,0,3,97,0,1,insideleft,19.5,19.54999924,left
1111111,38,1,7:26,111,チームA,3,,選手3,,#3 選手3 アシスト(1本),,0,0,10000003,0,12,0,0,1,,,,
1111111,39,1,7:12,222,チームB,1,,選手13,,#1 選手13 3Pシュート○(3点) ジャンプショット,6-6,0,0,10000013,0,1,27,0,2,outsideleft,74.26000214,80,right
1111111,40,1,7:12,222,チームB,3,,選手15,,#3 選手15 アシスト(1本),,0,0,10000015,0,12,0,0,2,,,,
1111111,41,1,6:50,111,チームA,4,,選手4,,#4 選手4 2Pシュート インサイドペイント○(4点) レイアップ,8-6,0,0,10000004,0,4,28,0,1,underbasket,5.769999981,53.15999985,left
1111111,42,1,6:50,111,チームA,1,,選手1,,#1 選手1 アシスト(1本),,0,0,10000001,0,12,0,0,1,,,,
1111111,43,1,6:36,111,チームA,5,,選手5,,#5 選手5 パーソナルファウル(1-1:0) 0ショット,,0,0,10000005,0,22,30,0,1,,,,
1111111,44,1,6:36,222,チームB,1,,選手13,,#1 選手13 ファウルドローン(1本),,0,0,10000013,0,15,0,0,2,,,,
1111111,45,1,6:28,222,チームB,4,,選手16,,#4 選手16 2Pシュート アウトサイドペイント× プルアップジャンプショット,,0,0,10000016,0,5,98,0,2,insidecenter,74.73000336,55.13999939,right
1111111,46,1,6:26,111,チームA,3,,選手3,,#3 選手3 ディフェンスリバウンド(0-1-1),,0,0,10000003,0,9,0,0,1,,,,
1111111,47,1,6:20,111,チームA,1,,選手1,,#1 選手1 3Pシュート○(5点) プルアップジャンプショット,11-6,0,0,10000001,0,1,98,0,1,outsideright,30.11000061,71.80999756,left
1111111,48,1,6:16,222,チームB,1,,選手13,,#1 選手13 ターンオーバー(1本) バッドパス,,0,0,10000013,0,13,149,0,2,,,,
1111111,49,1,6:16,111,チームA,4,,選手4,,#4 選手4 スティール(1本),,0,0,10000004,0,14,0,0,1,,,,
1111111,50,1,6:12,111,チームA,1,,選手1,,#1 選手1 3Pシュート× ジャンプショット,,0,0,10000001,0,2,27,0,1,outsideright,24.40999985,81.45999908,left
1111111,51,1,6:10,222,チームB,4,,選手16,,#4 選手16 ディフェンスリバウンド(0-1-1),,0,0,10000016,0,9,0,0,2,,,,
1111111,52,1,5:51,222,チームB,5,,選手17,,#5 選手17 3Pシュート× ジャンプショット,,0,0,10000017,0,2,27,0,2,outsideright,72.69999695,21.80999947,right
1111111,53,1,5:47,111,チームA,4,,選手4,,#4 選手4 ディフェンスリバウンド(0-2-2),,0,0,10000004,0,9,0,0,1,,,,
1111111,54,1,5:46,111,チームA,4,,選手4,,#4 選手4 ターンオーバー(3本) アウトオブバウンズ,,0,0,10000004,0,13,154,0,1,,,,
1111111,55,1,5:46,111,チームA,4,,選手4,,#4 選手4 プレイヤーアウト,,0,0,10000004,0,87,0,0,1,,,,
1111111,56,1,5:46,111,チームA,5,,選手5,,#5 選手5 プレイヤーアウト,,0,0,10000005,0,87,0,0,1,,,,
